City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Finnsnes,NO,37.76,overcast clouds,69.2296,17.9811,Finnsnes Hotel - A SNR Hotel
290,Behat,IN,66.04,clear sky,30.1667,77.6167,New Taj Gupta Transport Agency
291,Kapuskasing,CA,41.0,mist,49.4169,-82.4331,Park Inn Motel
292,Airai,TL,63.68,overcast clouds,-8.9266,125.4092,Juvinal Martin
293,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
295,Grindavik,IS,46.35,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
296,Namibe,AO,72.41,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
298,Malayal,PH,80.67,overcast clouds,7.208,121.942,
299,Khetri,IN,72.34,clear sky,27.9833,75.8,Dinesh Rajoria
300,Torbay,CA,50.77,few clouds,47.6666,-52.7314,Gallows Cove
301,Manali,IN,82.49,broken clouds,13.1667,80.2667,Sarathy Lodge
302,Saint-Leu,RE,76.03,clear sky,-21.15,55.2833,La Caz Oceane
303,Dongning,CN,42.96,overcast clouds,44.0622,131.1207,Huayu Hotel
305,Kamina,CD,76.21,light rain,-8.7386,24.9906,Guest House Florvia
307,Nelson Bay,AU,60.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
308,Nogent-Le-Rotrou,FR,55.4,overcast clouds,48.3333,1.0,La Glatine
309,La Paz,BO,57.18,few clouds,-16.5,-68.15,Hotel Sagarnaga
310,Tottori,JP,59.7,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
311,Kushima,JP,63.23,overcast clouds,31.4583,131.2333,Hanaoka
312,Stanislav,UA,57.38,clear sky,46.5691,32.1478,Hostynnyy Dvir
315,Luderitz,,70.66,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
316,Geraldton,AU,64.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
320,Kathmandu,NP,62.82,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
321,Hervey Bay,AU,77.04,light rain,-25.2986,152.8535,Shelly Bay Resort
323,Hami,CN,53.49,overcast clouds,42.8,93.45,Laoyutang Resort
324,Ambilobe,MG,79.12,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
326,Hoshiarpur,IN,66.76,clear sky,31.5322,75.9172,Hotel Fine Dining
327,Zhuhai,CN,76.05,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
328,Malartic,CA,35.42,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
329,Ashington,GB,58.82,few clouds,50.9331,-0.3909,Tirol House
330,Bridlington,GB,56.14,scattered clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
331,Dillon,US,60.26,broken clouds,34.4166,-79.3712,Dillon Express Inn
332,Ostersund,SE,50.61,few clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
334,Marawi,PH,66.65,broken clouds,7.9986,124.2928,Derogongan Residence
336,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
337,Oudtshoorn,ZA,62.96,clear sky,-33.5907,22.2014,Earthbound Guest House
338,Prince Rupert,CA,44.29,overcast clouds,54.3161,-130.3201,Crest Hotel
339,Aberystwyth,GB,54.3,few clouds,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
341,Hobyo,SO,81.46,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
342,Tura,IN,66.06,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
344,Katsuura,JP,62.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
345,Kathor,IN,80.4,overcast clouds,21.3,72.9333,HOTEL PEARL
346,Northam,GB,58.01,broken clouds,51.0333,-4.2167,Durrant House Hotel
347,Arandis,,55.47,clear sky,-22.4167,14.9667,Paradise valley
348,Bayan,CN,42.22,overcast clouds,46.0833,127.4,Wanhao Inn
349,Ilo,PE,63.46,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
350,Lake City,US,61.99,clear sky,30.1897,-82.6393,Ramada Limited Lake City
352,Ancud,CL,54.93,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
354,Cabo San Lucas,MX,77.5,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
355,Pasir Gudang,MY,84.36,broken clouds,1.4584,103.8805,Swan Garden Hotel
357,Nago,JP,75.36,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
358,Eyl,SO,79.88,clear sky,7.9803,49.8164,Amiin Hotel
360,Hamilton,US,55.15,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
361,French Harbor,HN,82.99,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
363,Half Moon Bay,US,60.71,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
364,Drabiv,UA,48.63,clear sky,49.963,32.1529,Sadyba Orkhideya - Ozdovovcho-Rekreatsiynyy Kompleks
365,Faanui,PF,77.83,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
366,Poum,NC,74.53,clear sky,-20.2333,164.0167,Gîte kajeon
367,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
368,Coolum Beach,AU,72.1,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
369,Somerset,US,64.26,broken clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
370,Tieli,CN,38.01,overcast clouds,46.95,128.05,Dynasty Hotel
371,Portland,US,52.38,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
372,Phan Thiet,VN,78.06,few clouds,10.9333,108.1,Hotel Saigon-PT
373,Dingle,PH,75.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
374,Ndjole,GA,82.4,moderate rain,-0.1783,10.7649,Motel Kédyann
375,Ararangua,BR,70.86,overcast clouds,-28.9347,-49.4858,Hotel Mazzuco
376,Kodinsk,RU,35.02,broken clouds,58.6881,99.1844,
379,Frontera,MX,72.95,clear sky,26.9333,-101.45,Casagrande Hotel
380,Wajima,JP,60.91,light rain,37.4,136.9,Wajiima Onsen Yashio
384,Guerrero Negro,MX,66.13,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
385,Ugoofaaru,MV,81.77,overcast clouds,5.6667,73.0,Ungoofaaru Inn
386,Carutapera,BR,82.78,scattered clouds,-1.195,-46.02,Lidera
387,Tabuk,PH,71.91,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
388,Beloha,MG,69.26,overcast clouds,-25.1667,45.05,
389,Laguna,US,61.3,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
390,Tual,ID,83.05,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
391,Lompoc,US,55.31,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
393,Moindou,NC,64.35,few clouds,-21.6924,165.677,Gite de la RYAWA
395,Pak Phanang,TH,81.34,overcast clouds,8.3511,100.202,Green Park Inn Hotel
396,Isabela,PH,80.15,broken clouds,6.7085,121.9711,Isawad Resort
397,Capinzal,BR,84.07,broken clouds,-27.3436,-51.6119,Hotel Baiolim
398,Huarmey,PE,67.1,broken clouds,-10.0681,-78.1522,Hotel Miramar
399,Viedma,AR,59.45,overcast clouds,-40.8135,-62.9967,Hotel Cristal
401,Santa Maria,BR,79.9,clear sky,-29.6842,-53.8069,Hotel Morotin
402,Valdosta,US,57.11,overcast clouds,30.8327,-83.2785,Courtyard by Marriott Valdosta
404,Portree,GB,50.86,broken clouds,57.4129,-6.1942,The Royal Hotel
405,Meulaboh,ID,77.59,overcast clouds,4.1363,96.1285,Kost Pria
406,Ardakan,IR,69.91,clear sky,32.31,54.0175,Ardakan Hotel
407,Lewistown,US,53.78,overcast clouds,40.5992,-77.5714,Quality Inn & Suites
